k,mse
1,4.034528136352332
2,6.513447954812176
3,8.596199876760442
4,10.475409765413877
5,12.231138341114857
6,13.87048599900362
7,15.435016305126597
8,16.89617923325393
9,18.3463017850499
10,19.732636869891454
11,21.064911438177294
12,22.320800726891022
13,23.642841866125604
14,24.882110936486793
15,26.063092605433045
16,27.289712529306772
17,28.490501407270926
18,29.594860708238418
19,30.691236324320823
20,31.79829497615855
21,32.841011075337256
22,33.99644092710212
23,35.03991870365672
24,36.036263921127215
25,37.11239746449967
26,38.17002159468461
27,39.108404213568356
28,40.11626283798287
29,41.13918819433173
30,42.133381933319534
31,43.09066904385703
32,44.087118361096124
33,45.00668729258808
34,45.823471828288234
35,46.78113219944808
36,47.66271073112455
37,48.604951887501386
38,49.56474312320351
39,50.40913587136243
40,51.37371621141456
41,52.126159219891655
42,52.9796613856559
43,53.966354184636224
44,54.77089669538533
45,55.644517337163585
46,56.43608027437251
47,57.35935723455064
48,58.245707039213926
49,58.917196403376145
50,59.80728044487437
