k,mse
1,4.038442166442134
2,6.495261213979051
3,8.599535137790523
4,10.491259912750465
5,12.241239120545117
6,13.861430955337305
7,15.420714561511533
8,16.906849423031453
9,18.33986476116686
10,19.715327906381276
11,21.062998725236067
12,22.34599001847563
13,23.667119394652893
14,24.850712699383944
15,26.035355345282333
16,27.287767467305194
17,28.450769476382856
18,29.59031540175359
19,30.699431588561364
20,31.81636416150549
21,32.879291898115135
22,33.999640974053804
23,34.929856460367354
24,36.04825905807183
25,37.081711568760575
26,38.17512787895853
27,39.126439341517845
28,40.10706425084385
29,41.021721533494556
30,41.97671925547996
31,43.01104680518254
32,43.9066013629402
33,44.92281863425728
34,45.81935676342292
35,46.739660373135365
36,47.79127238404159
37,48.5559933825635
38,49.50484930605346
39,50.39500772650371
40,51.302994549337036
41,52.1323719042764
42,53.11981009902081
43,53.905225171078314
44,54.64123753725372
45,55.64863460343647
46,56.46567539013739
47,57.394782622394665
48,58.11986922355382
49,58.917743538463846
50,59.72556058932148
