k,mse
1,4.037877778749024
2,8.549498901579492
3,13.252395027529248
4,18.097677139665606
5,23.059783711248
6,28.117284225690348
7,33.25346158932812
8,38.342553556280556
9,43.558124434377774
10,48.860433106767886
11,54.161841441208836
12,59.39341125608031
13,64.748008613237
14,70.31396635251124
15,75.76898451930685
16,81.23295179931863
17,86.61863806385087
18,92.11215394665707
19,97.77077805138259
20,103.14607245153964
21,108.71160001559355
22,114.2153163534934
23,119.87248061686698
24,125.5746450754487
25,131.01190292594433
26,136.5607515541345
27,142.15544312717756
28,147.87193436820814
29,153.77166956980824
30,159.23407674581068
31,165.25387675264352
32,170.64525640453786
33,175.8877877527398
34,182.26176565769927
35,187.9564289467295
36,193.64289939260857
37,198.93701769938335
38,204.85261316248233
39,210.911765074991
40,216.4251981141364
41,221.8760707411951
42,227.93073020735315
43,233.62127562514644
44,239.72596915143149
45,245.0922053396901
46,250.9091764414787
47,256.9350721150671
48,262.4219697295828
49,267.73873471617486
50,274.1582964118601
