k,mse
1,4.039250263307422
2,8.535514042352002
3,13.25611919316109
4,18.10061549035925
5,23.055966573533958
6,28.042007115026443
7,33.2522055319669
8,38.31802078403547
9,43.62629392004103
10,48.86149535664442
11,54.13657944377079
12,59.61433310830335
13,64.77041653077795
14,70.22097071033153
15,75.75394843198056
16,81.15506598484392
17,86.69882578525153
18,92.23580344714388
19,97.50154122533695
20,103.20457581411993
21,108.71320328372559
22,114.52018661587836
23,119.7663019682264
24,125.40256045344523
25,131.3022749536579
26,136.80281608705747
27,142.40180873130774
28,147.88484976555637
29,153.50255957348216
30,159.03135532613067
31,165.064849297564
32,170.4847224827713
33,176.12443107869913
34,182.02274108742463
35,187.89504049262655
36,193.27000367950268
37,199.39560729553907
38,204.8799621167467
39,210.52542305028624
40,215.9888242905153
41,222.32315585086067
42,227.6776534253166
43,233.49921699997537
44,239.31536603967638
45,245.4501034926498
46,250.91784461044503
47,256.7661316947392
48,262.60945523752605
49,268.1489865561878
50,274.01658578164455
