k,mse
1,4.043539745352871
2,8.52612213146696
3,13.253922993334172
4,18.11379457234338
5,23.046204493465947
6,28.084672432654084
7,33.15618500793259
8,38.44369446030195
9,43.635956409355565
10,48.886730931833945
11,54.138828610332
12,59.42863255600245
13,64.89413090197947
14,70.26427480108723
15,75.62479270791533
16,81.19363637084801
17,86.66160852578918
18,92.03183372932115
19,97.6424923199358
20,103.0455175896351
21,108.54913347412983
22,114.18685457832494
23,119.78096403401075
24,125.30284487581491
25,130.949951567783
26,136.61549343251238
27,142.32131412794027
28,147.91488256498832
29,153.44637307902158
30,158.9973084123899
31,165.22854956452986
32,170.55910971755074
33,176.27355212426988
34,181.98349025033082
35,187.85043611332293
36,193.48219425858574
37,199.27077142143506
38,204.9711497258479
39,210.7056378225813
40,215.8864798957437
41,221.86904134147235
42,227.70103139830957
43,233.57064390128397
44,239.22643744732773
45,245.0409245756061
46,251.01510936798786
47,256.67990474403103
48,262.4180570666205
49,268.00188945288966
50,274.64571777813245
