k,mse
1,4.044561337680795
2,10.471205746656908
3,18.322554780413558
4,27.271156083081365
5,37.09703447154701
6,47.73011426296145
7,58.953837659462856
8,70.77627282266556
9,83.21161989886943
10,96.15155294848844
11,109.58336845707292
12,123.476444759371
13,137.23601948578647
14,152.1308612853776
15,166.93595798167425
16,182.48426050691663
17,198.08327519594872
18,214.0518892002867
19,230.19485164681353
20,246.6154609090614
21,263.1575667343029
22,280.2073127511471
23,298.3881110043667
24,315.5400185691606
25,333.13215988216524
26,351.13981277815384
27,369.72220800327005
28,387.949669370808
29,407.5358126034585
30,424.54540617283624
31,443.8128050507484
32,463.7400829480125
33,482.12637214322456
34,501.2254471427145
35,520.8896272056605
36,541.219593339877
37,560.1017230211324
38,581.06273178501
39,601.0699928931215
40,621.6687114369763
41,641.662375399523
42,661.5779471370255
43,683.5120387204701
44,703.8386862396723
45,725.2814199011774
46,746.8336579546149
47,767.1306606300868
48,787.7186518335798
49,809.8207434275788
50,831.7163387770586
