k,mse
1,4.039454170378247
2,10.479008790696449
3,18.32927270931635
4,27.234831351212897
5,37.11817524383184
6,47.63728569487504
7,58.94942257926739
8,70.83500939217714
9,83.35304665420198
10,96.09803013510934
11,109.8525153529117
12,123.45016891474313
13,137.51730396550423
14,152.23451336516496
15,166.8755234231532
16,182.6760383878107
17,198.23242429870484
18,214.2399491523371
19,230.55766476531866
20,246.83001417383508
21,263.28026514409584
22,280.2864632597063
23,297.5894869133419
24,315.91254017357943
25,333.24455652362275
26,350.85422743920554
27,369.4562260858705
28,387.7195733112666
29,405.99916457134617
30,424.69855446750995
31,443.90855110566383
32,462.564884514247
33,481.8590118060296
34,501.91536233928167
35,521.948594767611
36,541.6829338063872
37,560.9588865210449
38,580.9597350286098
39,600.6868234412942
40,622.148652351844
41,642.7010478166877
42,662.9360246619487
43,682.978562581545
44,703.5024606832409
45,723.9194459806477
46,745.9211023977053
47,768.2979892532072
48,789.3673616811101
49,811.6881249448844
50,831.6960355942524
