k,mse
1,4.0418257188342785
2,10.467451767459684
3,18.323744792539486
4,27.279800076330076
5,37.102708043544055
6,47.77326825824041
7,58.94448515422652
8,70.81867797817205
9,83.16081218007797
10,96.11535604731226
11,109.80827760525302
12,123.55074737761782
13,137.6624642949617
14,152.1155631960564
15,166.96719968942617
16,182.1639055506485
17,197.60914813821233
18,214.11067204112032
19,230.21979334996078
20,246.79987750281492
21,263.84011895268134
22,280.1695576068698
23,297.82913338738706
24,315.4792349982767
25,333.7081647580609
26,351.2667131332827
27,367.65196779460257
28,387.53852322894545
29,405.5967478933238
30,425.0032468395672
31,444.0286896213007
32,462.9725330062445
33,482.4506053237345
34,501.53238551621007
35,521.9275382106233
36,540.5977896364054
37,561.0396576800487
38,582.1345457462429
39,600.8045576520005
40,621.344652839373
41,642.1536326666646
42,662.913634221193
43,683.362247333689
44,704.8249361099485
45,724.4017755702175
46,745.6062358550305
47,768.9089613312428
48,789.7823386837267
49,810.1209701829484
50,831.1463052189749
