k,mse
1,4.059753118896484
2,13.90363510131836
3,27.78372360839842
4,47.14173024902344
5,69.23187412109374
6,97.6596906188965
7,126.01974130859368
8,157.53697006225585
9,196.47878662109375
10,235.49294130859388
11,284.48992126464833
12,323.7688358825682
13,364.70519672241215
14,410.5753756774903
15,481.34006875000006
16,528.1442279052735
17,604.1221884521485
18,650.3100091552732
19,691.3935337829586
20,776.2414182067869
21,829.7681342224117
22,883.031884741211
23,978.3013925231934
24,1046.7185058044427
25,1115.1849683593746
26,1175.4018502868653
27,1263.9364859375
28,1334.7493337341307
29,1379.111151147461
30,1489.5177728271487
31,1585.6587475036622
32,1654.6437287048352
33,1686.9171501708975
34,1838.3576206970224
35,1927.6102812255858
36,2004.4330369567863
37,2055.3596625000005
38,2123.107457952881
39,2253.839740960692
40,2344.85879833374
41,2407.3763464294443
42,2566.5214555603034
43,2590.176334417725
44,2733.031920996095
45,2869.3525504821773
46,2943.769258294677
47,2985.1126972595207
48,3168.2244920898434
49,3198.8342225585943
50,3259.489603881836
