k,mse
1,4.080475000000002
2,13.979520874023438
3,28.386158929443365
4,47.49617880859376
5,71.50242490234373
6,96.65853851928706
7,125.06724599609367
8,158.74590521850584
9,199.36295114746088
10,229.89844140014648
11,273.0070397888183
12,327.79307357788076
13,359.01394149780276
14,432.4231214843749
15,465.8229909118651
16,532.1528881835939
17,577.2738475585937
18,649.1780497802736
19,689.8303559509278
20,757.789117376709
21,847.3247056579588
22,897.4422558593747
23,979.1187986755368
24,1053.3991572021484
25,1099.130780023193
26,1200.006653100586
27,1238.0861344665523
28,1361.4966891540525
29,1427.3209843505858
30,1496.655246850586
31,1554.4967984374994
32,1672.3224753662103
33,1803.8110260681153
34,1805.399184320068
35,1876.2562482849125
36,2016.3468527770992
37,2056.9726389099114
38,2143.9208715271
39,2266.6834647460937
40,2396.325324609376
41,2485.263738183594
42,2538.897117669678
43,2600.7837831970232
44,2733.804390527344
45,2820.822853851316
46,2872.3435638427736
47,2998.9927435302716
48,3039.17912255249
49,3234.168554589845
50,3277.3850315856944
