k,mse
1,4.083368749999998
2,13.806745794677736
3,29.05620043334961
4,47.044578704833995
5,70.07970966186527
6,95.28312500000007
7,125.43568786621103
8,156.9333676696777
9,195.90949899902344
10,235.91867673339834
11,274.2754296875001
12,320.2615420898438
13,365.8089138427734
14,423.66207763061504
15,468.32843398437495
16,528.3201365661621
17,577.4069613708497
18,637.5390461364744
19,705.2649290466304
20,780.5426654052737
21,819.396167089844
22,898.8816577148438
23,956.0461312500001
24,1035.2769941345218
25,1106.3133427673342
26,1187.8446481872559
27,1264.169352874756
28,1348.4044929443364
29,1407.1005466247561
30,1475.4190959411621
31,1600.2531760192876
32,1640.3481979431153
33,1741.8789038085938
34,1788.9652061523436
35,1909.5151624999999
36,2008.2306761169434
37,2041.9091160583487
38,2205.0173261657706
39,2242.7150393005363
40,2313.982843743898
41,2472.9106834960944
42,2554.9882495056145
43,2602.695771331787
44,2691.364972631836
45,2815.5770298767075
46,2867.7662169860823
47,3008.71142694702
48,3056.605722045898
49,3206.642929437257
50,3333.2560609375
